"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"country";"age_group";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"n_sessions_arm1";"mean_age";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";".id"
"11";"Alexopoulos, 2016";"pst";"other ctr";NA;NA;-0,215183490629242;0,174866416963007;"response (50%)";"hdrs-24";"clinician";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Response (50% decline on HAM-D)";28;37;84;87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84;87;12;10;1;2016;12;"post";"n";"ind";"ind";"us";"olderold";NA;"oth";"mdd";"med";1;0;"1";1;3;11;74,9;-0,24362208265775;0,198348929825668;28;37;84;87;"Alexopoulos GS, Raue PJ, McCulloch C, Kanellopoulos D, Seirup JK, Sirey JA, et al. Clinical case management versus case management with problem-solving therapy in low-income, disabled elders with major depression: A randomized clinical trial. American Journal of Geriatric Psychiatry. 2016;24(1):50-9.";"Alexopoulos_2016_response(50%)_hdrs_post_0_clinician_pst_otherctr_NA_NA"
"12";"Alhusen, 2021";"cbt";"cau";NA;NA;1,45689151068139;0,291243833649801;"msd";"epds";"self-report";12;2,4;30;14,9;1,4;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,8;1,4;30;17,4;1,9;30;30;30;0;0;1;2021;25,5;"post";"n";"grp";"grp";"us";"adul";1;"oth";"cut";"ppd";0;0;"1";0;1;5;24,5;NA;NA;NA;NA;NA;NA;"Alhusen, J. L., Hayat, M. J., & Borg, L. (2021, Feb). A pilot study of a group-based perinatal depression intervention on reducing depressive symptoms and improving maternal-fetal attachment and maternal sensitivity. Arch Womens Ment Health, 24(1), 145-154. https://doi.org/10.1007/s00737-020-01032-0 
";"Alhusen_2021_msd_epds_post_0_self-report_cbt_cau_NA_NA"
"13";"Allart van Dam, 2003";"cbt";"cau";NA;NA;0,569637930381429;0,205908966670104;"msd";"bdi-1";"self-report";9,64;7,09;61;14,12;8,77;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,78;6,89;61;14;6,9;41;68;42;7;1;1;2003;12;"post";"n";"grp";"grp";"eu";"adul";0,62;"com";"sub";"adul";0;0;"sr";0;1;12;45,5;NA;NA;NA;NA;NA;NA;"Allart-Van Dam E, Hosman CMH, Hoogduin CAL, Schaap CPDR. The coping with depression course: Short-term outcomes and mediating effects of a randomized controlled trial in the treatment of subclinical depression. Behavior Therapy. 2003;34(3):381-96.";"AllartvanDam_2003_msd_bdi-1_post_0_self-report_cbt_cau_NA_NA"
"14";"Amani, 2021";"cbt";"wl";NA;NA;1,30735305055158;0,362515925343984;"msd";"epds";"self-report";10,6;4,2;22;16,8;5,2;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;3,7;27;16,8;4;27;37;36;5;11;1;2021;0;"post";"n";"grp";"grp";"can";"adul";1;"com";"cut";"ppd";0;0;"1";1;2;9;31,55;NA;NA;NA;NA;NA;NA;"Amani, B., Merza, D., Savoy, C., Streiner, D., Bieling, P., Ferro, M. A., & Van Lieshout, R. J. (2021, Nov 9). Peer-Delivered Cognitive-Behavioral Therapy for Postpartum Depression: A Randomized Controlled Trial. J Clin Psychiatry, 83(1). https://doi.org/10.4088/JCP.21m13928 
";"Amani_2021_msd_epds_post_0_self-report_cbt_wl_NA_NA"
"15";"Amano, 2023";"cbt";"other ctr";NA;NA;-0,0320468998790311;0,359421939392527;"msd";"bdi-2";"self-report";18,9;12,3;16;18,5;12;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,4;7,34;16;32,3;9,7;15;19;19;3;4;1;2023;16;"post";"n";"ind";"ind";"eas";"adul";0,53;"clin";"mdd";"adul";1;1;"sr";0;3;16;37,45;NA;NA;NA;NA;NA;NA;"Amano, M., Katayama, N., Umeda, S., Terasawa, Y., Tabuchi, H., Kikuchi, T., . . . Nakagawa, A. (2023). The effect of cognitive behavioral therapy on future thinking in patients with major depressive disorder: A randomized controlled trial. Frontiers in Psychiatry, 14. doi:10.3389/fpsyt.2023.997154";"Amano_2023_msd_bdi-2_post_16.00_self-report_cbt_otherctr_NA_NA"
"16";"Amano, 2023";"cbt";"other ctr";NA;NA;-0,0274439338904152;0,359415461628818;"msd";"hdrs-17";"clinician";11,4;6,7;16;11,2;7,5;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,6;4,38;16;22,1;5,5;15;19;19;3;4;1;2023;16;"post";"n";"ind";"ind";"eas";"adul";0,53;"clin";"mdd";"adul";1;1;"1";0;3;16;37,45;NA;NA;NA;NA;NA;NA;"Amano, M., Katayama, N., Umeda, S., Terasawa, Y., Tabuchi, H., Kikuchi, T., . . . Nakagawa, A. (2023). The effect of cognitive behavioral therapy on future thinking in patients with major depressive disorder: A randomized controlled trial. Frontiers in Psychiatry, 14. doi:10.3389/fpsyt.2023.997154";"Amano_2023_msd_hdrs-17_post_16.00_clinician_cbt_otherctr_NA_NA"
"17";"Ammerman, 2013";"cbt";"wl";NA;NA;0,781053760453317;0,21529149814921;"msd";"hdrs-17";"clinician";8,71;7,86;47;15,05;8,24;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,87;4,37;47;21,96;4,4;46;47;46;2;1;1;2013;22;"post";"n";"ind";"ind";"us";"yadul";1;"oth";"mdd";"ppd";0;1;"1";1;3;11;21,9;NA;NA;NA;NA;NA;NA;"Ammerman RT, Putnam FW, Altaye M, Stevens J, Teeters AR, Van Ginkel JB. A clinical trial of in-home CBT for depressed mothers in home visitation. Behavior Therapy. 2013;44(3):359-72.";"Ammerman_2013_msd_hdrs_post_0_clinician_cbt_cau_NA_NA"
"18";"Ammerman, 2013";"cbt";"wl";NA;NA;0,881879726267443;0,217409637550158;"msd";"epds";"self-report";9,49;7,35;47;15,26;5,47;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,77;3,96;47;19,22;4,07;46;47;46;2;1;1;2013;22;"post";"n";"ind";"ind";"us";"yadul";1;"oth";"mdd";"ppd";0;1;"sr";1;3;11;21,9;NA;NA;NA;NA;NA;NA;"Ammerman RT, Putnam FW, Altaye M, Stevens J, Teeters AR, Van Ginkel JB. A clinical trial of in-home CBT for depressed mothers in home visitation. Behavior Therapy. 2013;44(3):359-72.";"Ammerman_2013_msd_epds_post_0_self-report_cbt_cau_NA_NA"
"19";"Ammerman, 2013";"cbt";"wl";NA;NA;0,943988689018691;0,218830635007238;"msd";"bdi-2";"self-report";12,7;15,44;47;26,51;13,49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,11;9,9;47;34,54;10,04;46;47;46;2;1;1;2013;22;"post";"n";"ind";"ind";"us";"yadul";1;"oth";"mdd";"ppd";0;1;"sr";1;3;11;21,9;NA;NA;NA;NA;NA;NA;"Ammerman RT, Putnam FW, Altaye M, Stevens J, Teeters AR, Van Ginkel JB. A clinical trial of in-home CBT for depressed mothers in home visitation. Behavior Therapy. 2013;44(3):359-72.";"Ammerman_2013_msd_bdi-2_post_0_self-report_cbt_cau_NA_NA"
"20";"Andersson, 2005";"cbt";"other ctr";NA;NA;0,789966088247678;0,227868952098286;"msd";"madrs-s";"self-report";12,7;8,3;36;19;7,6;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,1;5,7;36;21,6;7,2;49;57;60;21;11;1;2005;10;"post";"n";"gsh";"gsh";"eu";"adul";0,74;"com";"cut";"adul";1;1;"sr";0;3;4;36,34;NA;NA;NA;NA;NA;NA;"Andersson G, Bergström J, Holländare F, Carlbring P, Kaldo V, Ekselius L. Internet-based self-help for depression: Randomised controlled trial. British Journal of Psychiatry. 2005;187(5):456-61.";"Andersson_2005_msd_madrs-s_post_0_self-report_cbt_otherctr_NA_NA"
"21";"Andersson, 2005";"cbt";"other ctr";NA;NA;0,954452252023103;0,231609833417168;"msd";"bdi-1";"self-report";12,2;6,8;36;19,5;8,1;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,5;6,7;36;20,9;8,5;49;57;60;21;11;1;2005;10;"post";"n";"gsh";"gsh";"eu";"adul";0,74;"com";"cut";"adul";1;1;"sr";0;3;4;36,34;NA;NA;NA;NA;NA;NA;"Andersson G, Bergström J, Holländare F, Carlbring P, Kaldo V, Ekselius L. Internet-based self-help for depression: Randomised controlled trial. British Journal of Psychiatry. 2005;187(5):456-61.";"Andersson_2005_msd_bdi-1_post_0_self-report_cbt_otherctr_NA_NA"
"22";"Araya, 2021";"bat";"cau";"Sao Paulo";"cau";0,265099475177847;0,0811923132832991;"response (50%)";"phq-9";"self-report";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"at least a 50% reduction from baseline PHQ-9";159;114;440;440;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;440;440;49;41;1;2021;19;"post";"n";"gsh";"gsh";"oth";"adul";0,85;"clin";"cut";"med";1;1;"1";1;4;18;57;0,332705753825736;0,102546494114657;159;114;440;440;"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
";"Araya_2021_response(50%)_phq-9_post_0_self-report_bat_cau_SaoPaulo_cau"
"23";"Araya, 2021";"bat";"cau";"Lima";"cau";0,395725691602631;0,109735001466973;"response (50%)";"phq-9";"self-report";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"at least a 50% reduction from baseline PHQ-9";108;70;217;215;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;217;215;12;10;1;2021;19;"post";"n";"gsh";"gsh";"oth";"adul";0,85;"clin";"cut";"med";1;1;"1";1;4;18;57;0,424376659662064;0,119522030703131;108;70;217;215;"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
";"Araya_2021_response(50%)_phq-9_post_0_self-report_bat_cau_Lima_cau"
"24";"Arean, 1993";"lrt";"wl";"lrt (rt)";"wl";0,316900148925312;0,294610840638208;"msd";"gds";"self-report";16,5;6,8;28;18,4;4,3;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,2;6,6;28;17;5,1;20;27;20;7;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"sr";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_gds_post_0_self-report_lrt_wl_lrt(rt)_wl"
"25";"Arean, 1993";"lrt";"wl";"lrt (rt)";"wl";0,513498639401802;0,297579031653704;"msd";"bdi-1";"self-report";16,9;9,5;28;21,2;6;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,6;6,5;28;23;4,3;20;27;20;7;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"sr";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_bdi-1_post_0_self-report_lrt_wl_lrt(rt)_wl"
"26";"Arean, 1993";"lrt";"wl";"lrt (rt)";"wl";0,533161285826018;0,297951106025864;"msd";"hdrs-17";"clinician";17,6;9,9;28;22;4,5;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,3;6,1;28;22,4;5,5;20;27;20;7;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"1";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_hdrs_post_0_clinician_lrt_wl_lrt(rt)_wl"
"27";"Arean, 1993";"pst";"wl";"pst (pst)";"wl";0,834853376156667;0,334579465596538;"msd";"bdi-1";"self-report";15,7;6,9;19;21,2;6;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,7;5,2;19;23;4,3;20;28;20;9;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"sr";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_bdi-1_post_0_self-report_pst_wl_pst(pst)_wl"
"28";"Arean, 1993";"pst";"wl";"pst (pst)";"wl";0,848818280888214;0,335048577904621;"msd";"gds";"self-report";13,6;6,6;19;18,4;4,3;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,8;4,8;19;17;5,1;20;28;20;9;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"sr";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_gds_post_0_self-report_pst_wl_pst(pst)_wl"
"29";"Arean, 1993";"pst";"wl";"pst (pst)";"wl";2,37239782562441;0,421695125276536;"msd";"hdrs-17";"clinician";8,8;6,3;19;22;4,5;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,2;5,7;19;22,4;5,5;20;28;20;9;0;1;1993;12;"post";"n";"grp";"grp";"us";"old";0,75;"com";"mdd";"old";0;0;"1";0;1;12;66,49;NA;NA;NA;NA;NA;NA;"Arean PA, Perri MG, Nezu AM, Schein RL, Christopher F, Joseph TX. Comparative effectiveness of social problem-solving therapy and reminiscence therapy as treatments for depression in older adults. Journal of Consulting and Clinical Psychology. 1993;61(6):1003-10.";"Arean_1993_msd_hdrs_post_0_clinician_pst_wl_pst(pst)_wl"
"30";"Arjadi, 2018";"bat";"other ctr";NA;NA;0,388644587098011;0,114128300255334;"msd";"phq-9";"self-report";8,5;5,75;120;10,83;6,21;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,92;5,38;159;18,01;5,05;154;159;154;39;9;1;2018;10;"post";"n";"gsh";"gsh";"oth";"adul";0,81;"com";"mood";"adul";1;1;"sr";1;4;5;24,5;NA;NA;NA;NA;NA;NA;"Arjadi R, Nauta MH, Scholte WF, et al. Internet-based behavioural activation with lay counsellor support versus online minimal psychoeducation without support for treatment of depression: a randomised controlled trial in Indonesia. The lancet psychiatry 2018; 5(9): 707‐16.";"Arjadi_2018_msd_phq-9_post_0_self-report_bat_otherctr_NA_NA"
"31";"Arjadi, 2018";"bat";"other ctr";NA;NA;0,40162262155463;0,124643375122621;"msd";"ids";"self-report";27,57;12,17;120;32,61;12,79;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40,02;11,12;159;39,98;9,55;154;159;154;39;9;1;2018;10;"post";"n";"gsh";"gsh";"oth";"adul";0,81;"com";"mood";"adul";1;1;"sr";1;4;5;24,5;NA;NA;NA;NA;NA;NA;"Arjadi R, Nauta MH, Scholte WF, et al. Internet-based behavioural activation with lay counsellor support versus online minimal psychoeducation without support for treatment of depression: a randomised controlled trial in Indonesia. The lancet psychiatry 2018; 5(9): 707‐16.";"Arjadi_2018_msd_ids_post_10_self-report_bat_otherctr_NA_NA"
"32";"Au, 2022";"cbt";"cau";NA;NA;0,369317143374722;0,175572502430588;"msd";"bdi-2";"self-report";8,54;5,59;66;10,54;5,17;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,29;8,3;84;12,1;6,31;84;84;84;NA;NA;1;2022;12;"post";"n";"mixed";"grp + tel";"eas";"adul";NA;"oth";"sub";"med";0;0;"sr";0;1;12;NA;NA;NA;NA;NA;NA;NA;"Au, A., Nan, H., Sum, R., Ng, F., Kwong, A., & Wong, S. (2022). Cognitive behavioural therapy for adherence and sub-clinical depression in type 2 diabetes: a randomised controlled trial (abridged secondary publication). Hong Kong Med J, 28 Suppl 3(3), 21-23.";"Au_2022_msd_bdi-2_post_12_self-report_cbt_cau_NA_NA"
